1	-3.26	-4.74
1	-5.66	-8.54
1	-4.47	-6.45
1	-3.13	-3.72
1	7.24	12.88
1	-6.87	-14.07
1	-7.18	-13.19
1	5.14	10.00
1	4.73	9.11
1	-2.89	-5.02
1	-3.18	-6.18
1	3.34	3.97
1	-5.66	-10.31
1	1.23	2.09
1	-7.52	-12.90
1	-3.61	-7.00
1	9.06	19.13
1	-7.25	-13.48
1	1.39	3.05
1	9.51	18.15
1	0.07	0.14
1	3.35	4.99
1	-9.32	-19.28
1	-0.88	-0.66
1	-6.88	-10.53
1	-0.48	-1.95
1	-6.61	-10.99
1	7.93	16.34
1	-2.53	-4.60
1	-2.41	-2.91
1	7.17	13.41
1	2.92	2.59
1	1.67	3.23
1	3.37	6.46
1	-6.44	-13.27
1	6.98	12.86
1	-1.15	-2.16
1	6.63	13.22
1	5.28	8.19
1	8.39	15.55
1	-8.59	-14.01
1	-6.88	-11.17
1	2.74	7.09
1	1.11	2.32
1	-6.16	-12.46
1	-1.49	-3.91
1	0.27	1.41
1	-4.61	-5.66
1	1.98	2.52
1	-5.60	-9.47
1	-3.98	-6.74
1	-9.03	-16.79
1	1.29	1.72
1	8.72	15.97
1	6.06	11.13
1	3.95	6.20
1	-0.77	-2.09
1	3.25	5.65
1	4.99	8.86
1	0.63	0.92
1	-0.34	-2.23
1	-9.41	-16.38
1	7.89	14.54
1	6.63	11.12
1	4.76	11.05
1	7.97	14.46
1	-5.39	-9.50
1	-6.40	-10.94
1	2.28	4.76
1	-9.67	-16.89
1	-4.01	-10.70
1	3.37	8.70
1	9.05	12.31
1	6.32	10.20
1	-8.44	-13.88
1	-7.31	-14.04
1	1.53	-0.84
1	-6.45	-10.94
1	9.89	17.12
1	-7.65	-12.92
1	6.82	13.58
1	-9.72	-18.61
1	7.43	10.49
1	8.05	15.39
1	-1.02	-2.13
1	2.36	3.56
1	9.58	15.02
1	-2.05	-1.76
1	-1.06	-0.29
1	-5.33	-9.82
1	8.63	16.14
1	-4.54	-8.04
1	8.65	12.16
1	-1.74	-6.02
1	-6.79	-11.26
1	-0.62	-1.03
1	-4.61	-8.07
1	8.89	13.27
1	-4.09	-11.22
1	-6.97	-14.17
1	-4.55	-8.58
1	7.30	12.32
1	8.34	15.72
1	5.00	7.81
1	8.00	12.32
1	-9.55	-19.97
1	-9.18	-13.22
1	7.97	15.33
1	4.02	7.09
1	3.39	6.52
1	1.06	1.47
1	4.45	5.72
1	7.08	13.38
1	2.18	4.65
1	-0.95	-2.25
1	-4.07	-9.02
1	2.61	4.51
1	0.14	3.34
1	-2.59	-2.84
1	-7.24	-11.48
1	5.18	8.85
1	9.18	15.24
1	-4.42	-7.82
1	4.62	6.30
1	-6.00	-8.27
1	2.88	3.89
1	-5.94	-9.21
1	-8.99	-13.88
1	-2.56	-7.12
1	-9.72	-15.62
1	-8.01	-12.02
1	9.99	18.22
1	8.52	14.70
1	6.30	9.16
1	-5.55	-10.83
1	-8.05	-14.88
1	8.91	14.78
1	5.24	9.20
1	-3.43	-6.06
1	8.52	13.41
1	4.11	8.02
1	-8.86	-16.84
1	-0.10	-0.84
1	-2.10	-2.35
1	1.23	0.68
1	4.62	9.52
1	1.58	1.86
1	-9.24	-16.00
1	-6.09	-11.15
1	3.32	7.68
1	4.14	10.14
1	-3.64	-5.88
1	-5.06	-11.23
1	6.77	13.13
1	-8.32	-16.25
1	5.13	10.65
1	4.33	5.50
1	-1.04	-3.42
1	-9.04	-14.61
1	3.46	3.23
1	-6.07	-8.90
1	8.88	15.51
1	1.18	-0.66
1	6.63	10.18
1	-3.20	-4.06
